id,left_id,left_nama,left_alamat,right_id,right_nama,right_alamat,jaccard,label
54,1354,pizza hut delta plaza,plaza pemuda 33 37 embong kaliasin genteng 60271,1434,pizza hut restoran delta plaza surabaya,plaza pemuda 33 37 embong kaliasin genteng 60271,0.833333333,1
55,403,dimsum mbledos,dr ir h soekarno 53 kalijudan mulyorejo 60114,3269,dimsum mbledos merr,dr ir h soekarno 53 kalijudan mulyorejo 60114,0.833333333,1
56,325,aisya catering wedding,kebonsari 3 28 kebonsari jambangan 60233,1856,aisya catering wedding,dan kebonsari 3 28 raya kebonsari 18 kebonsari jambangan 60233,0.8125,1
57,148,astin brownies cookies,ngaglik baru 3 23 kapasari genteng,3212,dapur astin brownies cookies,ngaglik baru 3 23 kapasari genteng 60273,0.803571429,1
58,993,pangsit mie ayam kak rus,perumahan gunung sari indah ww 21 60223,3228,pangsit mie ayam kak rus,ww perumahan gn sari indah 21 kedurus karangpilang 60223,0.8,1
59,1369,roti o dtc surabaya,darmo trade center jagir wonokromo jagir wonokromo 60244,2956,roti o dtc wonokromo,darmo trade center jagir wonokromo jagir wonokromo 60244,0.8,1
60,1385,mixue ice cream kapas krampung,kapas krampung 97b rangkah tambaksari 60135,3321,mixue kapas krampung,kapas krampung 97b rangkah tambaksari 60135,0.8,1
61,538,guri ramen mulyosari,mulyosari 92 kalisari mulyorejo nan,3243,guri ramen mulyosari,raya mulyosari 92 kalisari mulyorejo 60112,0.785714286,1
62,161,aykitchen,wonorejo selatan 4 122 wonorejo rungkut,3210,aykitchen,wonorejo sel 4 122 wonorejo rungkut 60296,0.785714286,1
63,291,carpentier kitchen,untung suropati 83 dr soetomo tegalsari,1634,carpentier kitchen,untung suropati 83 tegalsari 60264,0.785714286,1
64,1363,cfc pasar atom,mall ps atum bunguran 45 bongkaran pabean cantikan 60161,3085,cfc atom,mall ps atum bunguran 45 bongkaran pabean cantikan city 60161,0.783333333,1
65,1374,gokana ramen teppan delta plaza,plaza pemuda 33 37 embong kaliasin genteng 60271,2926,gokana ramen teppan plaza surabaya,plaza pemuda 33 37 embong kaliasin genteng city 60271,0.777777778,1
66,349,dapur flamboyan,bendul merisi gg 1 sel 23 rt rw bendul merisi wonocolo,3204,dapur flamboyan,bendul merisi gg 1 selatan 23 bendul merisi wonocolo 60244,0.772727273,1
67,1420,mixue ice cream tea bg junction,lantai ug upper ground c oc1 oc2 bubutan 1 7 bubutan bubutan 60174,3276,mixue bg junction,lantai ug upper ground c oc1 oc2 bubutan 1 7 bubutan bubutan 60174,0.75,1
68,1371,roti o kazacity surabaya,kaza city kapas krampung tambakrejo simokerto 60133,2950,roti o,kaza city kapas krampung tambakrejo simokerto 60133,0.75,1
69,767,kuweh surabaya,menur 38 60286,3231,kuweh surabaya,raya menur 38 airlangga gubeng 60286,0.75,1
70,1366,richeese factory ahmad yani,ahmad yani 288 dukuh menanggal gayungan 60234,2986,richeese factory,ahmad yani 288 dukuh menanggal gayungan 60234,0.75,1
71,1388,mixue ice cream tea ptc surabaya,puncak indah raya lontar 2 babatan wiyung 60216,3318,mixue ptc surabaya,puncak indah raya lontar 2 babatan wiyung 60216,0.75,1
72,102,ayam guling lambeh,griya babatan mukti m 23 babatan wiyung 60227,3265,ayam guling lambeh,griya babatan 2 m 23 rt 003 rw 07 babatan wiyung 60227,0.75,1
73,1247,chatime darmo surabaya,darmo 99 darmo wonokromo nbsp darmo wonokromo 60241,3028,chatime darmo,darmo 99 darmo wonokromo nbsp darmo wonokromo city 60241,0.75,1
74,1381,mixue ice cream tea plaza surabaya,lt 4 plaza pemuda embong kaliasin genteng 60271,3325,mixue plaza surabaya,lt 4 plaza pemuda embong kaliasin genteng 60271,0.75,1
75,1251,starbucks coffee jemursari surabaya,jemursari tim 2 jemur wonosari wonocolo 60237,2972,starbucks jemursari,jemursari tim 2 jemur wonosari wonocolo 60237,0.75,1
76,1293,ummaria,kebonsari 2 12 kebonsari jambangan 60233,3260,kebab ummaria,kebonsari 2 12 kebonsari jambangan 60233,0.75,1
77,1297,urban wagyu,opak 50 darmo wonokromo 60241,3261,urban wagyu steakhouse opak,opak 50 darmo wonokromo 60241,0.75,1
78,1372,wendy s grand city,grand city mall walikota mustajab ketabang genteng 60272,2931,wendy s,grand city mall walikota mustajab ketabang genteng 60272,0.75,1
79,1423,mixue ice cream tea gayungsari 1215,gayungsari bar 10 41 gayungan gayungan 60235,3279,mixue gayungsari 1215,gayungsari bar 10 41 gayungan gayungan 60235,0.75,1
80,946,nita cake cookies,lakarsantri iiia 5 lakarsantri lakarsantri 60211,3226,nita cake cookies,lakarsantri 3 a 5 lakarsantri lakarsantri 60211,0.75,1
81,1391,mixue ice cream tea kupang jaya,kupang jaya 1 33 sonokwijenan sukomanunggal 60189,3315,mixue kupang jaya,kupang jaya 1 33 sonokwijenan sukomanunggal 60189,0.75,1
82,629,joana cookie,darmo indah selatan 8 ff 26 rt 004 rw 005 karangpoh tandes 60186,3200,joana cookie,darmo indah selatan 8 ff karangpoh tandes 60188,0.75,1
83,1401,mixue ice cream tea manyar kertoarjo,manyar kertoarjo 5 57 mojo gubeng 60285,3304,mixue manyar kertoarjo,manyar kertoarjo 5 57 mojo gubeng 60285,0.75,1
84,1013,pempek ny kamto,royal plaza ahmad yani 16 18 wonokromo 60231,3249,pempek ny kamto royal plaza,royal plaza ahmad yani 16 18 wonokromo city 60231,0.744444444,1
85,187,bang zoel,sarpawisesa 44 ujung semampir,3209,bang zoel kedai,sarpawisesa 44 ujung semampir 60155,0.733333333,1
86,1342,ayam nelongso mulyosari,raya mulyosari kalisari mulyorejo 60113,3191,ayam goreng nelongso mulyosari,pqmw 5h7 raya mulyosari kalisari mulyorejo 60113,0.732142857,1
87,1419,mixue ice cream tea citraland bukit palma,ruko palma galeria ra2 11 sememi benowo 60198,3273,mixue citraland bukit palma,ruko palma galeria ra2 11 sememi benowo city 60198,0.73015873,1
88,1418,mixue ice cream tea darmo permai,raya darmo permai 1 57a pradahkalikendal dukuhpakis 60226,3272,mixue damai darmo permai,raya darmo permai 1 57a pradahkalikendal dukuhpakis 60226,0.714285714,1
89,1253,outlet es teler 77 royal plaza surabaya,royal plaza ahmad yani 16 18 wonokromo wonokromo 60243,2933,es teler 77,royal plaza ahmad yani 16 18 wonokromo wonokromo 60243,0.714285714,1
